PHONE_REDACTEDT18:PORT:PORT.965129Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.965220Z	   16 Query	ROLLBACK TO SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.965356Z	   16 Query	show table status like 'default\_roles'
PHONE_REDACTEDT18:PORT:PORT.968027Z	   16 Query	SET SQL_QUOTE_SHOW_CREATE=1
PHONE_REDACTEDT18:PORT:PORT.968158Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.968255Z	   16 Query	show create table `default_roles`
PHONE_REDACTEDT18:PORT:PORT.969215Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.969390Z	   16 Query	show fields from `default_roles`
PHONE_REDACTEDT18:PORT:PORT.971310Z	   16 Query	show fields from `default_roles`
PHONE_REDACTEDT18:PORT:PORT.973115Z	   16 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `default_roles`
PHONE_REDACTEDT18:PORT:PORT.973348Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.973455Z	   16 Query	use `mysql`
PHONE_REDACTEDT18:PORT:PORT.973570Z	   16 Query	select @@collation_database
PHONE_REDACTEDT18:PORT:PORT.973726Z	   16 Query	SHOW TRIGGERS LIKE 'default\_roles'
PHONE_REDACTEDT18:PORT:PORT.975072Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.975204Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.975354Z	   16 Query	SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'mysql' AND TABLE_NAME = 'default_roles'
PHONE_REDACTEDT18:PORT:PORT.975789Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.975886Z	   16 Query	ROLLBACK TO SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.976021Z	   16 Query	show table status like 'engine\_cost'
PHONE_REDACTEDT18:PORT:PORT.978682Z	   16 Query	SET SQL_QUOTE_SHOW_CREATE=1
PHONE_REDACTEDT18:PORT:PORT.978819Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.978922Z	   16 Query	show create table `engine_cost`
PHONE_REDACTEDT18:PORT:PORT.980029Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.980218Z	   16 Query	show fields from `engine_cost`
PHONE_REDACTEDT18:PORT:PORT.982229Z	   16 Query	show fields from `engine_cost`
PHONE_REDACTEDT18:PORT:PORT.984415Z	   16 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `engine_cost`
PHONE_REDACTEDT18:PORT:PORT.984701Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.984826Z	   16 Query	use `mysql`
PHONE_REDACTEDT18:PORT:PORT.984951Z	   16 Query	select @@collation_database
PHONE_REDACTEDT18:PORT:PORT.985097Z	   16 Query	SHOW TRIGGERS LIKE 'engine\_cost'
PHONE_REDACTEDT18:PORT:PORT.986470Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.986609Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.986776Z	   16 Query	SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'mysql' AND TABLE_NAME = 'engine_cost'
PHONE_REDACTEDT18:PORT:PORT.987232Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.987326Z	   16 Query	ROLLBACK TO SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.987461Z	   16 Query	show table status like 'func'
